,Acetate,Fructose,Galactose,Glucose,Glycerol,Gluconate,Pyruvate,Succinate
R_EX_ac_e,-13.584,3.328659611,-1.96894E-08,6.82701918,0.597000264,5.003982394,11.91390972,3.32097368
R_EX_fru_e,0,-8.328,0,0,0,0,0,0
R_EX_gal_e,0,0,-1.969,0,0,0,0,0
R_EX_glc__D_e,0,0,0,-9.654,0,0,0,0
R_EX_glyc_e,0,0,0,0,-10.14,0,0,0
R_EX_glcn_e,0,0,0,0,0,-7.283923192,0,0
R_EX_pyr_e,0,0,0,0,0,0,-26.714,0
R_EX_succ_e,0,0,0,0,0,0,0,-15.902
R_EX_fum_e,1.35843E-07,8.32745E-08,1.96895E-08,9.65373E-08,1.01357E-07,7.28368E-08,0,1.139998478
R_EX_lac__D_e,0,0,0,0,0,0,1.157010054,0
R_PGI,-3.423255408,-6.197932335,1.368485563,5.699970323,-3.449403274,-0.031320943,-0.898172808,-5.590319021
R_FBA,-1.886235168,5.866997755,1.5474503,7.058477001,-1.49569866,0.486919227,-0.587011671,-2.691604996
R_TPI,-1.886235168,5.866997755,1.5474503,7.058477001,8.64030134,0.486919227,-0.587011671,-2.691604996
R_GAPD,-2.263870368,13.46463215,3.3085239,15.7103918,8.01288294,6.894586459,-1.129305871,-3.415145996
R_PGK,2.263870368,-13.46463215,-3.3085239,-15.7103918,-8.01288294,-6.894586459,1.129305871,3.415145996
R_PGM,2.736593568,-12.59852015,-3.0415275,-14.5577042,-7.25876454,-5.873380427,1.789141671,4.273853996
R_ENO,-2.736593568,12.59852015,3.0415275,14.5577042,7.25876454,5.873380427,-1.789141671,-4.273853996
R_PDH,0.065462657,9.06882563,2.94269835,11.29846427,4.097735891,7.505541965,21.01739424,7.752081858
R_EDD,0.821593848,8.32807E-10,0.172972131,1.08699106,0.014580353,5.818960662,2.67142E-09,0.655464183
R_EDA,0.821593848,8.32807E-10,0.172972131,1.08699106,0.014580353,5.818960662,2.67142E-09,0.655464183
R_G6PDH2r,3.408313008,6.171282735,0.591653937,3.919275277,3.426090474,0,0.876801608,5.563285621
R_PGL,3.408313008,6.171282735,0.591653937,3.919275277,3.426090474,0,0.876801608,5.563285621
R_GND,2.58671916,6.171282734,0.418681806,2.832284217,3.411510121,1.464962603,0.876801605,4.907821437
R_RPI,-1.02932292,-2.398542245,-0.227903069,-1.427438339,-1.426383907,-0.905204072,-0.538926468,-1.974123012
R_RPE,1.55739624,3.772740489,0.190778737,1.404845878,1.985126214,0.559758531,0.337875137,2.933698425
R_TKT1,0.83914692,1.983807845,0.132209669,0.820201739,1.080746307,0.388773917,0.247743868,1.563851412
R_TALA,0.83914692,1.983807845,0.132209669,0.820201739,1.080746307,0.388773917,0.247743868,1.563851412
R_TKT2,0.71824932,1.788932645,0.058569069,0.584644139,0.904379907,0.170984614,0.090131268,1.369847012
R_PPC,1.774145487,3.545668823,0.377386282,2.453331329,1.376468598,1.943350491,2.489448585,2.016110199
R_PPCK,3.114281249,0.358920309,0.848949475,0.540874026,-1.00352E-07,-7.21108E-08,1.164802522,2.9717887
R_CS,8.834019072,4.568329269,1.520962672,2.977971288,2.464836426,1.154033708,8.08192149,3.155400871
R_ACONTa,8.834019072,4.568329269,1.520962672,2.977971288,2.464836426,1.154033708,8.08192149,3.155400871
R_ACONTb,8.834019072,4.568329269,1.520962672,2.977971288,2.464836426,1.154033708,8.08192149,3.155400871
R_ICDHyr,4.696417224,4.566118827,0.496177414,2.977971287,2.464836425,1.154033635,7.979320059,3.038949363
R_AKGDH,4.267162824,3.874894827,0.236072514,2.138073287,1.840458825,0.182358282,7.415654659,2.351982963
R_SUCOAS,-4.267162824,-3.874894827,-0.236072514,-2.138073287,-1.840458825,-0.182358282,-7.415654659,-2.351982963
R_SUCDi,8.404764672,3.877105269,1.260857772,2.138073288,1.840458826,0.182358354,7.51825609,18.37043447
R_FUM,8.404764672,3.877105269,1.260857772,2.138073288,1.840458826,0.182358354,7.51825609,17.23043599
R_ICL,4.137601849,0.002210442,1.024785258,0.000000001,0.000000001,7.284E-08,0.102601431,0.116451508
R_MALS,4.137601849,0.002210442,1.024785258,0.000000001,0.000000001,7.284E-08,0.102601431,0.116451508